# PMU_padrao on SAPHO - cocotb fast sim results
# A=1 f1=62 Hz f0=60 Hz Fs=1920 Hz Fr=60 Hz phi=0.7853981634 rad N=1600 Q20
# TVE compares y_hw[n] against X[n-82] (FIR group delay); '-' while n < 82
#      n         x[n]        Re_hw        Im_hw       abs_hw     fase_deg        fe_hw     ROCOF_hw    TVE_pct
     157    0.3399692    0.2038450    0.6721926    0.7024213    73.129868   62.1320801   -0.0051270    0.66268
     158    0.1434926    0.1991758    0.6735325    0.7023653    73.526091   62.1130829   -0.0189972    0.67208
     159   -0.0588708    0.1945782    0.6748743    0.7023646    73.916795   62.0834656   -0.0296173    0.67458
     160   -0.2588190    0.1900578    0.6761808    0.7023834    74.300637   62.0472260   -0.0362396    0.67377
     161   -0.4481492    0.1856041    0.6774225    0.7023889    74.677791   62.0112762   -0.0359497    0.67350
     162   -0.6190939    0.1811972    0.6785755    0.7023512    75.049374   61.9817200   -0.0295563    0.67801
     163   -0.7646403    0.1768074    0.6796207    0.7022430    75.417413   61.9628601   -0.0188599    0.69179
     164   -0.8788171    0.1727104    0.6805563    0.7021294    75.760192   61.8282471   -0.1346130    0.70412
     165   -0.9569403    0.1684980    0.6813431    0.7018689    76.109297   61.8618317    0.0335846    0.74125
     166   -0.9958049    0.1641340    0.6820316    0.7015035    76.468811   61.9173279    0.0554962    0.79428
     167   -0.9938165    0.1596022    0.6826878    0.7010959    76.841437   61.9871674    0.0698395    0.85207
     168   -0.9510565    0.1549139    0.6833677    0.7007066    77.227384   62.0583191    0.0711517    0.90597
     169   -0.8692793    0.1501026    0.6841307    0.7004039    77.625029   62.1207275    0.0624084    0.94794
     170   -0.7518398    0.1452208    0.6850100    0.7002340    78.030622   62.1630096    0.0422821    0.97341
     171   -0.6035559    0.1403313    0.6860199    0.7002258    78.439146   62.1791382    0.0161285    0.97948
     172   -0.4305111    0.1354952    0.6871500    0.7003814    78.845274   62.1658325   -0.0133057    0.96541
     173   -0.2398045    0.1307669    0.6883640    0.7006747    79.243824   62.1256256   -0.0402069    0.93277
     174   -0.0392598    0.1261806    0.6896086    0.7010574    79.631045   62.0649109   -0.0607147    0.88530
